transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0xcdb4bbeca8e5b7228fc9d14e4e20fed98614de2f711b1cae6900e4e7f8342423,14515173,2022-04-03,13611294676837538538534984297270728458313,0xcceadc23117995fda452225e6b6435c68ef10670,0xa01424b7540adbb792375dcf97b733a5d68ad347,0xcceadc23117995fda452225e6b6435c68ef10670,0xa01424b7540adbb792375dcf97b733a5d68ad347,3.49,12006.773472327199
0xef6b59268caa505d2653e7c9d26cff1fae82920623e52863b7c904e52c2705a6,14515120,2022-04-03,115792089237316195423570985008687907839658689988803025500922599710642401181794,0xab78a012a52943354c3935b8da4b7eb3858776bb,0xa01424b7540adbb792375dcf97b733a5d68ad347,0xab78a012a52943354c3935b8da4b7eb3858776bb,0xa01424b7540adbb792375dcf97b733a5d68ad347,3.2,11009.07596316534
0xb2ee95737e885c9851e96fb99a6887e6840f8ee77df4a76cdd0b10d1f5ee0638,14513799,2022-04-03,3402823669209384634633746074317682114447,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x837ba6f15daab33a6a181535c74e0a57dc47d699,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x837ba6f15daab33a6a181535c74e0a57dc47d699,3.0,10321.008715467506
0xf561314ec9f8b983835d34a7d5c6f55ced5a07e5feef23dee33b2374e33bea1b,14513604,2022-04-03,115792089237316195423570985008687907815498641937416394595023002582986858168287,0xf5ebc3d94e116f4a35d1a633a768f89833a0089f,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,0xf5ebc3d94e116f4a35d1a633a768f89833a0089f,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,5500.0,18921849.311690427
0x1eb5495ea03f9122ab25bcd4235211fa96199009449cbe7ac1764c62a0ea16ff,14512190,2022-04-03,115792089237316195423570985008687907828769654247332994670094612272825818415001,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x53c4859560e3f268789f6de934d776b9d91e190a,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x53c4859560e3f268789f6de934d776b9d91e190a,3.05,10493.025527391963
0x2553609f54bd3817bfb3eb645c317273e0a195c278c90bdc328a409486e3be2f,14512142,2022-04-03,115792089237316195423570985008687907828429371880412056206631237665394050203628,0x69734444a9c9954c21d83b5f062802909dc5112b,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,0x69734444a9c9954c21d83b5f062802909dc5112b,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,3.1,10665.042339316422
0x6ef0f777ff75ddebbd0c325af39c8d55e2d16369353d3c778b45faab09b9d1d0,14511335,2022-04-03,115792089237316195423570985008687907849186596262589302477897088718731911102322,0x665f6ffa06c40e5cf9bfecc3970d6a2da63f5f89,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,0x665f6ffa06c40e5cf9bfecc3970d6a2da63f5f89,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,4.3,14793.445825503424
0xc54f67089f815de3aa75daefbdec3ebdd8ce4cc2b16e0ad200a540ca884fe538,14509106,2022-04-02,115792089237316195423570985008687907843061513658012410135556345784960083296271,0x44433acee8911975e4b03734c4d455852dd29a82,0xa1ae49c05846175a1ccbad04a61b9aa1bad17b86,0x44433acee8911975e4b03734c4d455852dd29a82,0xa1ae49c05846175a1ccbad04a61b9aa1bad17b86,3.09,10664.19592077988
0x55ef286db91b416cba8c29d2558f9e05e706c8599f75f4b2bdac4e3c976cd5db,14509090,2022-04-02,115792089237316195423570985008687907842721231291091471672092971177528315084815,0x44433acee8911975e4b03734c4d455852dd29a82,0x5ce213893956bbf4249a7f8a079331280065eec6,0x44433acee8911975e4b03734c4d455852dd29a82,0x5ce213893956bbf4249a7f8a079331280065eec6,3.09,10664.19592077988
0xc11a1e8de5ebc397bb76c4281acbca1087038b2e8721589c025a20f13b134448,14509088,2022-04-02,21437789116019123198192600268201397321596,0x88a6adde136a58bc1e2ab0a5ca1c91749893c57f,0x0cbfc5242cf36ca11b816f58d3110b24bd203b83,0x0cbfc5242cf36ca11b816f58d3110b24bd203b83,0x88a6adde136a58bc1e2ab0a5ca1c91749893c57f,3.05,10526.14807714519
